date,ret_1d,ret_overnight,ret_5d,close_vs_ma5,momentum_5_20,vol_20d,vix_change,vix_ma_ratio,bn_ret_1d,nifty_bn_spread,ret_zscore,high_low_range,target
2022-02-01,0.0136679386118703,0.0109343283619075,0.02494300049235,0.0170993589435684,0.0277144995840306,0.0104728463716971,-0.0897494830172985,1.074915902472758,0.0139603299426334,-0.000292391330763,1.553697743883215,0.0214970041715248,1
2022-02-02,0.0115578385853996,0.0073590894983824,0.0290573131622111,0.0229113875548192,0.0304754342220109,0.0105478455511823,-0.0665665642731636,0.9965800731684372,0.021425510641337,-0.0098676720559374,1.3059425081727614,0.0067378418517997,0
2022-02-03,-0.0123622486642295,-0.0006889763779527,0.0263030317005039,0.0050612897189283,0.0466682026883562,0.0107663240865456,0.027345857335842,1.0185800324159529,-0.0081488920812092,-0.0042133565830202,-1.502610062985987,0.0153756797765543,0
2022-02-04,-0.0024998826581151,0.0017084088640615,0.0242283237542138,-0.0021839845671142,0.0371665012668237,0.0105638168279986,-0.0135699494234052,1.0023068686879262,-0.0056562019354011,0.0031563192772859,-0.3446304488183786,0.0088631727634058,0
2022-02-07,-0.0172811129276234,-0.0034253807781278,-0.007280916665606,-0.0180149016702707,0.026352369453343,0.0111389704780187,0.081481531566671,1.075874430391245,-0.0204670176677435,0.00318590474012,-2.080153477855853,0.0242453419880697,1
2022-02-08,0.0030876976246183,0.0038487011144327,-0.0176425022837768,-0.0114854109561026,0.0232694832570691,0.0108202427461809,-0.0371820063123533,1.0304474248768825,0.0008685250649362,0.002219172559682,0.3114295732816881,0.0152199358955796,1
2022-02-09,0.0114121523303458,0.0059854697250495,-0.0177839830568053,0.0034285369539956,0.0150005436867527,0.0111853490449579,-0.0569106108671574,0.9697729368164324,0.0152990930001726,-0.0038869406698267,1.2888369055909816,0.0079106714715461,1
2022-02-10,0.008133901085124,0.0051706286195127,0.0025996510663874,0.0110599308456249,0.03590123010525,0.0111598904770313,-0.0457974356642346,0.9240803042836606,0.010378052945785,-0.002244151860661,0.9039243896964186,0.0120584256275796,0
2022-02-11,-0.0131262969128136,-0.0087953500007488,-0.0080810887537122,-0.0005867143707632,0.0402845819987507,0.0113998639844135,0.0547713873996515,0.9696843994956555,-0.0126554013331393,-0.0004708955796742,-1.5923200063760778,0.0087339386178218,0
2022-02-14,-0.0306162228952934,-0.0171858363069972,-0.0215410394420382,-0.027034551674925,0.0558564500475746,0.0130035296454654,0.2301926748828329,1.1733469235372322,-0.0417656820969825,0.011149459201689,-3.645881771215853,0.0172091098825838,1
2022-02-15,0.0302591263839775,0.0053702005934007,0.004963251263266,0.0014150069001002,0.0571614810640063,0.0150410046983175,-0.10313311484314,1.042119662367756,0.0341804474721041,-0.0039213210881265,3.5017350812742727,0.0308746041118565,0
