date,nf_Adj Close,nf_Close,nf_High,nf_Low,nf_Open,nf_Volume,bnf_Adj Close,bnf_Close,bnf_High,bnf_Low,bnf_Open,bnf_Volume,vix_Adj Close,vix_Close,vix_High,vix_Low,vix_Open,vix_Volume,ret_1d,ret_5d,ret_10d,ret_20d,ret_intraday,ret_overnight,high_low_range,log_volume,volume_ratio_20d,close_vs_ma5,close_vs_ma20,close_vs_ma50,momentum_5_20,vol_5d,vol_20d,vol_50d,rsi_14,bn_ret_1d,bn_ret_5d,nifty_bn_spread,nifty_bn_corr_20d,vix_level,vix_change,vix_5d_change,vix_ma_ratio,close_vs_252d_high,close_vs_252d_low,dow,ret_zscore,ma5_smooth_signal,volume_normalized
2022-01-03,17625.69921875,17625.69921875,17646.650390625,17383.30078125,17387.150390625,200500,36421.4765625,36421.8984375,36492.1015625,35526.6015625,35585.19921875,219000,16.4500007629395,16.4500007629395,16.8099994659424,15.4499998092651,16.2199993133545,0,,,,,0.0137198346345254,,0.0149412290602832,12.2085695257288,,,,,,,,,,,,,,16.4500007629395,,,,,,0,,,0.18030118030118
2022-01-04,17805.25,17805.25,17827.599609375,17593.55078125,17681.400390625,247400,36839.71875,36840.1484375,36887.80078125,36374.3984375,36551.25,190500,16.1200008392334,16.1200008392334,16.6800003051758,15.710000038147,16.4500007629395,0,0.0101868742352642,,,,0.0070045135927506,0.0031602248049113,0.0131449335519018,12.4187617389405,,,,,,,,,,0.0114834760938591,,-0.0012966018585949,,16.1200008392334,-0.0200607847052213,,,,,1,1.1449721316705,,0.228021978021978
2022-01-05,17925.25,17925.25,17944.69921875,17748.849609375,17820.099609375,251500,37695.4609375,37695.8984375,37862.3984375,36756.3515625,36943.55078125,237400,17.2299995422363,17.2299995422363,17.3799991607666,15.0900001525879,16.1200008392334,0,0.006739585234692,,,,0.005900662338031,0.0008340017340391,0.0109259067167821,12.4351982685219,,,,,,,,,,0.0232287337672321,,-0.01648914853254,,17.2299995422363,0.0688584767502851,,,,,2,0.74021222067836,0.0080014933537695,0.232193732193732
2022-01-06,17745.900390625,17745.900390625,17797.94921875,17655.55078125,17768.5,236500,37489.8125,37490.25,37752.5,37058.44921875,37242.55078125,199000,17.9799995422363,17.9799995422363,18.4200000762939,16.3999996185303,17.2299995422363,0,-0.0100054174627969,,,,-0.0012718917958747,-0.0087446479128603,0.0080243005069062,12.3737034869141,,,,,,,,,,-0.0054554592415662,,-0.0045499582212307,,17.9799995422363,0.0435287301175781,,,,,3,-1.2258851388044,-0.0063039904296167,0.216931216931217
2022-01-07,17812.69921875,17812.69921875,17905,17704.55078125,17797.599609375,239300,37739.1640625,37739.6015625,38134.8515625,37427.80078125,37667.05078125,183300,17.6000003814697,17.6000003814697,18.0900001525879,16.8600006103516,17.9799995422363,0,0.0037641836511315,,,,0.0008484070721001,0.0029133049105421,0.0112531636159332,12.3854732738965,,0.0016723567683309,,,,,,,,0.0066511042871146,,-0.0028869206359831,,17.6000003814697,-0.0211345478554633,,,,,4,0.390858487954478,-0.0053539062816105,0.21978021978022
2022-01-10,18003.30078125,18003.30078125,18017.44921875,17879.150390625,17913.30078125,232400,38347.453125,38347.8984375,38400.3515625,37929.3515625,37930.55078125,206500,17.6800003051758,17.6800003051758,18.3899993896484,15.8400001525879,17.6000003814697,0,0.0107003189218717,0.0214233522207341,,,0.0050241996770468,0.0056477438519876,0.0076818595548342,12.3562153039599,,0.0081093521112354,,,,0.0084631612683559,,,,0.0161182643646253,0.052880274851818,-0.0054179454427536,,17.6800003051758,0.0045454501120512,0.0747720051787121,,,,0,1.20525771423006,0.002076187312145,0.212759462759463
2022-01-11,18055.75,18055.75,18081.25,17964.400390625,17997.75,220200,38441.75390625,38442.19921875,38504.6015625,38031.75,38370,159500,17.7600002288818,17.7600002288818,18.25,16.4400005340576,17.6800003051758,0,0.0029133112526023,0.0140688841774194,,,0.0032226250503535,-0.0003083201973596,0.0064716009789125,12.3022915032707,,0.0082178442530329,,,,0.0077918879108761,,,,0.0024590860279787,0.0434865452284458,0.0004542252246235,,17.7600002288818,0.0045248824844552,0.101736929545125,,,,1,0.290954175830605,-0.0006990155216122,0.20034595034595
2022-01-12,18212.349609375,18212.349609375,18227.94921875,18128.80078125,18170.400390625,245000,38727.1015625,38727.55078125,38851.44921875,38604.6015625,38719.6015625,156100,17.1800003051758,17.1800003051758,17.9300003051758,16.5499992370605,17.7600002288818,0,0.0086731157318304,0.0160164912274585,,,0.0023086568181317,0.0063497994060063,0.0054440223050057,12.4090134895269,,0.013711989834966,,,,0.0080776374867667,,,,0.0074228729963197,0.0273677611228841,0.0012502427355107,,17.1800003051758,-0.0326576529409522,-0.0029018710614577,,,,2,0.967235725755087,0.0030489290507627,0.225579975579976
2022-01-13,18257.80078125,18257.80078125,18272.25,18163.80078125,18257,303700,38469.50390625,38469.94921875,38717.55078125,38376.1484375,38717.55078125,159200,16.7000007629395,16.7000007629395,17.5200004577637,16.6100006103516,17.1800003051758,0,0.0024956237305924,0.0288461210396195,,,4.3861601029742E-05,0.0024516545960668,0.0059398840007813,12.6237956510338,,0.0104835465219335,,,,0.0037290487869201,,,,-0.0066516357813342,0.0261321068477804,0.0091472595119266,,16.7000007629395,-0.0279394373521472,-0.0711901452661366,,,,3,0.241911822780661,0.0021874459667525,0.285307285307285
2022-01-14,18255.75,18255.75,18286.94921875,18119.650390625,18185,229500,38369.953125,38370.3984375,38448.05078125,38007.75,38302.3515625,148600,16.5599994659424,16.5599994659424,17.1000003814697,15.3400001525879,16.7000007629395,0,-0.0001123235637506,0.024872748133738,,,0.0038905691503986,-0.0039873795383266,0.0091641717335633,12.3436583084827,,0.0054392145587007,,,,0.0045476824790069,,,,-0.0025877544231713,0.0167144550785822,0.0024754308594207,,16.5599994659424,-0.0083833108144378,-0.0590909598287461,,,,4,-0.0642976405266849,0.0014449092715689,0.20980870980871
